ComptaID,Date,Portefeuille,PortefeuilleID,Fonctionnement,FonctionnementID,Num_Commande,Montant,Vérifié,Date paiement,Relevé,Etat,Categorie,CategorieID,Tiers,TiersID,Notes,Projet,ProjetID
2025-08-09-0-001,09/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"18,00 €",Oui,12/08/2025,05/09/2025,Réglé,Quotidien / Transport / Transport en commun,C.D-QUO.TR.07,SNCF - Train & Bus,T#TT-MOB-IN-TRA#250809#SNCF__TRAIN__BU,,Loc Epinal,P#2025LOC_EPINAL
2025-08-10-0-002,10/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"1 260,00 €",Oui,12/08/2025,05/09/2025,Réglé,Logement / Charges / Loyer,C.D-LOG.CH.06,MOUGEL Agnès - Propriétaire,T#TT-SER-IM-PRO#250727#MOUGEL_AGNS__PR,,Loc Epinal,P#2025LOC_EPINAL
2025-08-10-0-001,10/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"298,07 €",Oui,10/08/2025,05/09/2025,Réglé,Logement / Charges / Loyer,C.D-LOG.CH.06,MOUGEL Agnès - Propriétaire,T#TT-SER-IM-PRO#250727#MOUGEL_AGNS__PR,,Loc Epinal,P#2025LOC_EPINAL
2025-08-11-0-002,11/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"144,00 €",Oui,11/08/2025,05/09/2025,Réglé,Logement / Annexe / Stockage,C.D-LOG.AN.01,Nancy Stockage 54 - Nancy Pulnoy,T#TT-MOB-LO-STO#250101#NANCY_STOCKAGE_,,DC Maman,P#2024DC_MAMAN__
2025-08-11-0-000,11/08/2025,Héritage,PTF#BA#BANQ#HÉR,Dépense & Revenu,FCT.MV-DR,,"39 541,08 €",Oui,11/08/2025,05/09/2025,Réglé,Finance / Revenus Exceptionnels / Héritage,#N/A,Maman,T#TT-SER-TR-PER#250701#MAMAN______,,,
2025-08-12-0-003,12/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,PO-069-05141496100470987,"10,64 €",Oui,13/08/2025,05/09/2025,Réglé,Logement / Ameublement & Entretien / Décoration,C.D-LOG.AM.03,Temu,T#TT-COM-NU-INT#250101#TEMU______,,Viking,P#2025VIKING____
2025-08-12-0-002,12/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,PO-069-05141496100470987,"25,68 €",Oui,13/08/2025,05/09/2025,Réglé,Quotidien / Mode/ Sous-vêtements,C.D-QUO.MO.06,Temu,T#TT-COM-NU-INT#250101#TEMU______,,,
2025-08-12-0-001,12/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,PO-069-05141496100470987,"40,01 €",Oui,13/08/2025,05/09/2025,Réglé,Quotidien / Mode / Vêtements & accessoires à theme,C.D-QUO.MO.05,Temu,T#TT-COM-NU-INT#250101#TEMU______,,Viking,P#2025VIKING____
2025-08-13-0-004,13/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"337,68 €",Oui,13/08/2025,05/09/2025,Réglé,Finance / Social / Chaumage,C.R-FIN.SO.01,France Travail - Pole Emploi,T#TT-PUB-SE-SER#250701#FRANCE_TRAVAIL_,,,
2025-08-13-0-003,13/08/2025,Banque,PTF#BA#BANQ#BAN,Dépense & Revenu,FCT.MV-DR,,"37,59 €",Oui,15/08/2025,05/09/2025,Réglé,Quotidien / Consommation / Annimaux,C.D-QUO.CO.01,La Companie des animauux,T#TT-COM-SP-ANN#250813#LA_COMPANIE_DES,,,
