Categorie,Nature,NatureID,CategorieN0,CategorieN1,CategorieN2,CodeDuo,Index,CategorieID
Logement / Annexe / Stockage,Dépense,N.DEP,Logement,Annexe,Stockage,Log.An,01,C.D-LOG.AN.01
Logement / Charges / Assurance,Dépense,N.DEP,Logement,Charges,Assurance,Log.Ch,01,C.D-LOG.CH.01
Logement / Charges / Autres Charges,Dépense,N.DEP,Logement,Charges,Autres Charges,Log.Ch,02,C.D-LOG.CH.02
Logement / Charges / Crédit Immo,Dépense,N.DEP,Logement,Charges,Crédit Immo,Log.Ch,03,C.D-LOG.CH.03
Logement / Charges / Déménagement,Dépense,N.DEP,Logement,Charges,Déménagement,Log.Ch,04,C.D-LOG.CH.04
Logement / Charges / Énergie (Élec & Gaz),Dépense,N.DEP,Logement,Charges,Énergie (Élec & Gaz),Log.Ch,05,C.D-LOG.CH.05
Logement / Charges / Loyer,Dépense,N.DEP,Logement,Charges,Loyer,Log.Ch,06,C.D-LOG.CH.06
Logement / Ameublement & Entretien / Bricolage,Dépense,N.DEP,Logement,Ameublement & Entretien,Bricolage,Log.Am,02,C.D-LOG.AM.02
Logement / Ameublement & Entretien / Décoration,Dépense,N.DEP,Logement,Ameublement & Entretien,Décoration,Log.Am,03,C.D-LOG.AM.03
Logement / Ameublement & Entretien / Mobilier,Dépense,N.DEP,Logement,Ameublement & Entretien,Mobilier,Log.Am,04,C.D-LOG.AM.04
Logement /Ameublement & Entretien / Serrurier,Dépense,N.DEP,Logement,Ameublement & Entretien,Serrurier,Log.Am,05,C.D-LOG.AM.05
Logement /Ameublement & Entretien / Ménage (services),Dépense,N.DEP,Logement,Ameublement & Entretien,Ménage (services),Log.Am,06,C.D-LOG.AM.06
Quotidien /  Mode / Accessoire Beauté,Dépense,N.DEP,Quotidien,Mode,Accessoire Beauté,Quo.Mo,01,C.D-QUO.MO.01
"Quotidien /  Mode / Sac, Ceintures",Dépense,N.DEP,Quotidien,Mode,"Sac, Ceintures",Quo.Mo,02,C.D-QUO.MO.02
Quotidien / Abonnement / Internet & Mobile,Dépense,N.DEP,Quotidien,Abonnement,Internet & Mobile,Quo.Ab,01,C.D-QUO.AB.01
Quotidien / Abonnement / Loisirs (annuel),Dépense,N.DEP,Quotidien,Abonnement,Loisirs (annuel),Quo.Ab,02,C.D-QUO.AB.02
Quotidien / Abonnement / Streaming,Dépense,N.DEP,Quotidien,Abonnement,Streaming,Quo.Ab,03,C.D-QUO.AB.03
Quotidien / Abonnement / Loisirs (mensuel),Dépense,N.DEP,Quotidien,Abonnement,Loisirs (mensuel),Quo.Ab,04,C.D-QUO.AB.04
Quotidien / Abonnement / Sécurité (annuel),Dépense,N.DEP,Quotidien,Abonnement,Sécurité (annuel),Quo.Ab,05,C.D-QUO.AB.05
Quotidien / Cadeaux / Autres Cadeaux,Dépense,N.DEP,Quotidien,Cadeaux,Autres Cadeaux,Quo.Ca,01,C.D-QUO.CA.01
Quotidien / Cadeaux / Cadeaux Amis,Dépense,N.DEP,Quotidien,Cadeaux,Cadeaux Amis,Quo.Ca,02,C.D-QUO.CA.02
Quotidien / Cadeaux / Cadeaux Famille,Dépense,N.DEP,Quotidien,Cadeaux,Cadeaux Famille,Quo.Ca,03,C.D-QUO.CA.03
Quotidien / Consommation / Annimaux,Dépense,N.DEP,Quotidien,Consommation,Annimaux,Quo.Co,01,C.D-QUO.CO.01
Quotidien / Consommation / Autres Matériels,Dépense,N.DEP,Quotidien,Consommation,Autres Matériels,Quo.Co,02,C.D-QUO.CO.02
Quotidien / Consommation / Courses,Dépense,N.DEP,Quotidien,Consommation,Courses,Quo.Co,03,C.D-QUO.CO.03
Quotidien / Consommation / Électroménager,Dépense,N.DEP,Quotidien,Consommation,Électroménager,Quo.Co,04,C.D-QUO.CO.04
Quotidien / Consommation / High-Tech,Dépense,N.DEP,Quotidien,Consommation,High-Tech,Quo.Co,05,C.D-QUO.CO.05
